list-none-none,1,10,1,30,14194795,473159
list-none-none,1,100,1,300,14175613,47252
list-none-none,1,1000,1,3000,27457006,9152
list-none-none,1,10000,1,30000,1014202163,33806
list-none-none,1,20000,1,60000,5323555969,88725
list-none-none,2,1,1,6,19228916,3204819
list-none-none,4,1,1,12,18796448,1566370
list-none-none,8,1,1,24,34318462,1429935
list-none-none,2,10,1,60,22264542,371075
list-none-none,4,10,1,120,13541654,112847
list-none-none,2,100,1,600,34259926,57099
list-none-none,4,100,1,1200,27299025,22749
list-none-none,8,100,1,2400,39159016,16316
list-none-none,12,100,1,3600,107327225,29813
list-none-none,2,1000,1,6000,31165847,5194
list-none-none,8,1000,1,24000,175186908,7299
list-i-none,2,1,1,6,34254275,5709045
list-i-none,4,1,1,12,32556470,2713039
list-i-none,8,1,1,24,45773886,1907245
list-i-none,12,1,1,36,61221725,1700603
list-i-none,2,2,1,12,25285781,2107148
list-i-none,4,2,1,24,68678391,2861599
list-i-none,8,2,1,48,52361820,1090871
list-i-none,12,2,1,72,57438903,797762
list-i-none,2,4,1,24,55207970,2300332
list-i-none,4,4,1,48,62174242,1295296
list-i-none,8,4,1,96,123254341,1283899
list-i-none,12,4,1,144,1839765,12776
list-i-none,2,8,1,48,28689841,597705
list-i-none,4,8,1,96,44086296,459232
list-i-none,8,8,1,192,41265507,214924
list-i-none,2,16,1,96,221269,2304
list-i-none,4,16,1,192,26436849,137691
list-i-none,8,16,1,384,21328300,55542
list-i-none,2,32,1,192,85684175,446271
list-i-none,4,32,1,384,49357302,128534
list-d-none,2,1,1,6,19158870,3193145
list-d-none,4,1,1,12,55014264,4584522
list-d-none,8,1,1,24,66119367,2754973
list-d-none,12,1,1,36,56395477,1566541
list-d-none,2,2,1,12,35279605,2939967
list-d-none,4,2,1,24,33592308,1399679
list-d-none,8,2,1,48,35314893,735726
list-d-none,12,2,1,72,352404418,4894505
list-d-none,4,4,1,48,1039772,21661
list-d-none,8,4,1,96,2769260,28846
list-d-none,2,8,1,48,168699,3514
list-d-none,8,8,1,192,976401,5085
list-d-none,12,8,1,288,409699,1422
list-d-none,2,16,1,96,293977,3062
list-d-none,4,16,1,192,160700,836
list-d-none,8,16,1,384,620169,1615
list-d-none,12,16,1,576,1791962,3111
list-d-none,2,32,1,192,39131740,203811
list-d-none,4,32,1,384,208354,542
list-d-none,8,32,1,768,476103,619
list-il-none,2,1,1,6,30825885,5137647
list-il-none,4,1,1,12,37694867,3141238
list-il-none,8,1,1,24,39291064,1637127
list-il-none,2,2,1,12,34208982,2850748
list-il-none,4,2,1,24,52760299,2198345
list-il-none,8,2,1,48,52397517,1091614
list-il-none,2,4,1,24,34082680,1420111
list-il-none,4,4,1,48,49245462,1025947
list-il-none,8,4,1,96,65195053,679115
list-il-none,12,4,1,144,44112925,306339
list-il-none,2,8,1,48,36551362,761486
list-il-none,4,8,1,96,33312576,347006
list-il-none,8,8,1,192,38162583,198763
list-il-none,2,16,1,96,42184342,439420
list-il-none,4,16,1,192,40163344,209184
list-il-none,12,16,1,576,43804319,76049
list-i-none,2,32,1,192,40280500,209794
list-i-none,4,32,1,384,85239517,221977
list-dl-none,2,1,1,6,25579672,4263278
list-dl-none,4,1,1,12,24916041,2076336
list-dl-none,8,1,1,24,35134013,1463917
list-dl-none,12,1,1,36,35891353,996982
list-dl-none,2,2,1,12,36685334,3057111
list-dl-none,4,2,1,24,5123948,213497
list-dl-none,8,2,1,48,985349,20528
list-dl-none,12,2,1,72,24278859,337206
list-dl-none,2,4,1,24,32786158,1366089
list-dl-none,4,4,1,48,752118,15669
list-dl-none,8,4,1,96,36326708,378403
list-dl-none,12,4,1,144,35673788,247734
list-dl-none,2,8,1,48,34788946,724769
list-dl-none,4,8,1,96,20886334,217565
list-dl-none,2,16,1,96,59243405,617118
list-dl-none,4,16,1,192,34907767,181811
list-dl-none,8,16,1,384,36180488,94220
list-dl-none,12,16,1,576,37302972,64762
list-dl-none,2,32,1,192,1560543,8127
list-dl-none,8,32,1,768,73897773,96221
list-dl-none,12,32,1,1152,58851767,51086
list-i-m,12,32,1,1152,159224933,138216
list-d-m,12,32,1,1152,116304647,100958
list-il-m,12,32,1,1152,205218504,178141
list-dl-m,12,32,1,1152,174212272,151225
list-i-s,12,32,1,1152,275476022,239128
list-d-s,12,32,1,1152,423032119,367215
list-il-s,12,32,1,1152,816867468,709086
list-dl-s,12,32,1,1152,538053691,467060
list-none-none,1,1000,1,3000,5078067,1692
list-none-m,1,1000,1,3000,7535673,2511
list-none-m,2,1000,1,6000,33303099,5550
list-none-m,4,1000,1,12000,102878086,8573
list-none-m,8,1000,1,24000,448709627,18696
list-none-m,12,1000,1,36000,1141428293,31706
list-none-m,16,1000,1,48000,1652378836,34424
list-none-m,24,1000,1,72000,2194221932,30475
list-none-s,1,1000,1,3000,17996117,5998
list-none-s,2,1000,1,6000,54547548,9091
list-none-s,4,1000,1,12000,110942794,9245
list-none-s,8,1000,1,24000,534950000,22289
list-none-s,12,1000,1,36000,2164542458,60126
list-none-s,16,1000,1,48000,5057517733,105364
list-none-s,24,1000,1,72000,19308942185,268179
