add-none,2,100,400,34464398,86160,0
add-none,4,100,800,30414332,38017,0
add-none,8,100,1600,35461521,22163,0
add-none,12,100,2400,39455470,16439,0
add-none,2,1000,4000,34905243,8726,0
add-none,4,1000,8000,42376640,5297,0
add-none,8,1000,16000,59402762,3712,0
add-none,12,1000,24000,50407317,2100,-214
add-none,2,10000,40000,41695314,1042,0
add-none,4,10000,80000,42370620,529,0
add-none,8,10000,160000,61455237,384,11
add-none,12,10000,240000,36600023,152,-2404
add-none,2,100000,400000,29424625,73,0
add-none,4,100000,800000,56397806,70,32047
add-none,8,100000,1600000,82406567,51,27860
add-none,12,100000,2400000,97694736,40,-91151
add-yield-none,2,10,40,50410723,1260268,0
add-yield-none,4,10,80,80434103,1005426,0
add-yield-none,8,10,160,116117068,725731,0
add-yield-none,12,10,240,66470322,276959,0
add-yield-none,2,20,80,34283142,428539,0
add-yield-none,4,20,160,81474542,509215,0
add-yield-none,8,20,320,79984724,249952,0
add-yield-none,12,20,480,72557492,151161,0
add-yield-none,2,40,160,37407768,233798,0
add-yield-none,4,40,320,55272237,172725,0
add-yield-none,8,40,640,65441539,102252,0
add-yield-none,12,40,960,93492143,97387,0
add-yield-none,2,80,320,61414256,191919,0
add-yield-none,4,80,640,96548133,150856,0
add-yield-none,8,80,1280,79578924,62171,0
add-yield-none,12,80,1920,91394783,47601,0
add-yield-none,2,100,400,52401242,131003,0
add-yield-none,4,100,800,90400398,113000,0
add-yield-none,8,100,1600,85418156,53386,0
add-yield-none,12,100,2400,61447585,25603,0
add-yield-none,2,1000,4000,78411019,19602,0
add-yield-none,4,1000,8000,64841984,8105,0
add-yield-none,8,1000,16000,72044023,4502,954
add-yield-none,12,1000,24000,108507165,4521,79
add-yield-none,2,10000,40000,116382780,2909,-5502
add-yield-none,4,10000,80000,126346612,1579,6543
add-yield-none,8,10000,160000,141473970,884,2248
add-yield-none,12,10000,240000,230390196,959,-6708
add-yield-none,2,100000,400000,728511745,1821,-62272
add-yield-none,4,100000,800000,803729853,1004,-13216
add-yield-none,8,100000,1600000,1117811058,698,-77961
add-yield-none,12,100000,2400000,1237466855,515,-76741
add-none,2,100,400,32863190,82157,0
add-none,8,100,1600,40392517,25245,-2
add-none,2,1000,4000,37350854,9337,0
add-none,8,1000,16000,55422430,3463,-238
add-none,2,10000,40000,28325328,708,0
add-none,8,10000,160000,44459330,277,0
add-none,2,100000,400000,24492494,61,0
add-none,8,100000,1600000,63487456,39,-188732
add-none,1,100,200,28409676,142048,0
add-none,1,1000,2000,21391662,10695,0
add-none,1,10000,20000,30406430,1520,0
add-none,1,100000,200000,41463414,207,0
add-yield-m,2,100000,400000,3292581576,8231,0
add-yield-m,4,100000,800000,3497959184,4372,0
add-yield-m,8,100000,1600000,7083965168,4427,0
add-yield-m,12,100000,2400000,9826912494,4094,0
add-yield-c,2,100000,400000,4891439846,12228,0
add-yield-c,4,100000,800000,55972527828,69965,0
add-yield-c,8,100000,1600000,687172322791,429482,0
add-yield-c,12,100000,2400000,1660941151261,692058,0
add-yield-s,2,1000,4000,7512708,1878,0
add-yield-s,4,1000,8000,32251724,4031,0
add-yield-s,8,1000,16000,100465369,6279,0
add-yield-s,12,1000,24000,437967479,18248,0
add-none,1,10000,20000,19518906,975,0
add-none,2,10000,40000,21539054,538,0
add-none,4,10000,80000,33958607,424,0
add-none,8,10000,160000,30423799,190,-1440
add-none,12,10000,240000,34556512,143,-4984
add-m,1,10000,20000,10789673,539,0
add-m,2,10000,40000,47364819,1184,0
add-m,4,10000,80000,27981280,349,0
add-m,8,10000,160000,122027769,762,0
add-m,12,10000,240000,229167649,954,0
add-c,1,10000,20000,26605016,1330,0
add-c,2,10000,40000,88291603,2207,0
add-c,4,10000,80000,36658081,458,0
add-c,8,10000,160000,131695003,823,0
add-c,12,10000,240000,196976862,820,0
add-s,1,10000,20000,30674444,1533,0
add-s,2,10000,40000,25642954,641,0
add-s,4,10000,80000,35025672,437,0
add-s,8,10000,160000,102975532,643,0
add-s,12,10000,240000,91088766,379,0
